,NOMBRE,EQUIPO,BLOQ,INTER,R,D,EE,EF,JUH,DE,DF,DAE,DAF
,LLORENÇ SERRED,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,LOGAN EVANS COSTA,VILLARREAL CF,4,5,34,34,8,5,0,34,16,19,9
,LORENZO AGUADO HERRERA,REAL MADRID,0,0,0,0,0,0,0,0,0,0,0
,LOÏC BADÉ,SEVILLA FC,7,10,44,53,12,8,0,55,33,27,13
,LUCAS ALCÁZAR,REAL BETIS,0,0,0,0,0,0,0,0,0,0,0
,JUAN CRUZ ÁLVARO ARMADA,CA OSASUNA,0,2,16,15,4,4,0,13,14,3,1
,JUAN HERZOG,UD LAS PALMAS,3,4,18,20,2,0,0,15,7,10,5
,JUAN IGLESIAS,GETAFE CF,2,22,43,44,23,14,0,73,67,15,12
,JUAN MUSSO,ATLÉTICO DE MADRID,0,0,6,0,0,0,0,1,0,1,0
,JUAN SORIANO,CD LEGANÉS,0,0,56,4,1,0,0,4,0,0,0
,JUANLU SÁNCHEZ,SEVILLA FC,0,6,20,6,6,1,0,17,21,7,4
,JUAN MIGUEL JIMÉNEZ LÓPEZ,REAL BETIS,0,1,9,3,3,3,0,19,10,4,1
,JUANMI LATASA,REAL VALLADOLID CF,1,0,11,5,0,1,0,58,55,43,26
,JUAN PEDRO RAMÍREZ LÓPEZ,GIRONA FC,3,4,4,20,4,3,0,21,6,12,4
,JUDE BELLINGHAM,REAL MADRID,2,13,37,5,14,12,0,64,48,5,11
,JULEN AGIRREZABALA,ATHLETIC CLUB,0,0,100,10,0,0,0,6,4,5,0
,JULEN LARTITEGI,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0,0,0
,JULES KOUNDÉ,FC BARCELONA,3,7,53,29,22,11,0,65,52,11,11
,JULIÁN ÁLVAREZ,ATLÉTICO DE MADRID,0,0,23,4,2,2,0,19,49,7,15
,JULIÁN CHICCO,CD LEGANÉS,0,2,6,1,4,2,0,11,10,0,4
,JUMA BAH,REAL VALLADOLID CF,4,7,22,34,4,1,0,35,20,23,10
,JUSTIN SMITH,RCD ESPANYOL DE BARCELONA,0,2,4,0,1,3,0,6,3,0,0
,KARL HEIN,REAL VALLADOLID CF,0,0,125,13,0,0,0,6,1,5,0
,KELECHI IHEANACHO,SEVILLA FC,0,0,7,1,0,1,0,6,17,2,6
,ROBERT KENEDY NUNES DO NASCIMENTO,REAL VALLADOLID CF,0,0,1,0,0,0,0,0,2,0,0
,JON MONCAYOLA,CA OSASUNA,1,7,36,12,15,16,0,44,39,6,6
,JON OLASAGASTI,REAL SOCIEDAD,0,1,4,1,2,1,0,5,5,1,2
,JON PACHECO,REAL SOCIEDAD,4,4,10,21,3,1,0,14,20,7,8
,JONATHAN BAMBA,RC CELTA,0,5,48,4,5,5,0,40,50,5,8
,JONI MONTIEL,RAYO VALLECANO,0,0,0,0,0,0,0,0,0,0,0
,JORGE HERRANDO,CA OSASUNA,5,1,9,18,2,1,0,11,8,8,5
,JORGE SÁENZ,CD LEGANÉS,3,9,21,38,11,3,0,35,28,16,12
,JORGE DE FRUTOS,RAYO VALLECANO,0,5,52,8,11,8,0,51,70,3,6
,JOSEPH AIDOO,RC CELTA,0,0,1,0,0,1,0,1,1,0,0
,JOSÉ ARNÁIZ,CA OSASUNA,0,1,7,1,2,0,0,6,4,0,1
,JOSÉ CAMPAÑA,UD LAS PALMAS,0,14,38,11,8,2,0,35,14,9,1
,JOSÉ GAYÀ,VALENCIA CF,0,4,16,8,5,1,0,14,12,3,2
,JOSÉ GRAGERA,RCD ESPANYOL DE BARCELONA,1,5,18,13,16,9,0,45,34,11,5
,JOSÉ GIMÉNEZ,ATLÉTICO DE MADRID,11,14,37,51,7,3,0,29,33,14,19
,JOSÉ ÁNGEL CARMONA,SEVILLA FC,4,34,74,30,31,10,0,80,56,12,13
,JOÃO URBÁEZ,CD LEGANÉS,0,0,0,0,0,0,0,0,0,0,0
,JUAN BERNAT,VILLARREAL CF,0,0,6,0,2,1,0,4,6,1,0
,JUAN BERROCAL,GETAFE CF,1,7,23,28,3,7,0,30,20,19,11
,JUAN CARLOS MARTÍN CORRAL,GIRONA FC,0,0,0,0,0,0,0,0,0,0,0
,JUAN CRUZ,CD LEGANÉS,1,6,46,9,6,2,0,38,40,3,5
,JESÚS ARESO,CA OSASUNA,3,5,52,40,18,7,0,50,58,9,7
,JESÚS NAVAS,SEVILLA FC,0,2,8,4,2,2,0,16,8,6,3
,JESÚS OWONO,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0,0,0
,JESÚS RODRIGUEZ,REAL BETIS,0,1,8,0,1,0,0,11,10,1,3
,JESÚS VALLEJO,REAL MADRID,0,0,1,1,0,0,0,0,1,0,1
,JESÚS VÁZQUEZ,VALENCIA CF,5,5,25,15,13,3,0,36,41,4,9
,JHON SOLÍS,GIRONA FC,1,3,15,4,4,0,0,16,21,3,2
,JIRÍ LETÁCEK,GETAFE CF,0,0,0,0,0,0,0,0,0,0,0
,JOAN GARCÍA,RCD ESPANYOL DE BARCELONA,0,0,147,14,0,0,0,8,1,7,1
,JOAN JORDÁN,DEPORTIVO ALAVÉS,0,2,17,5,7,4,0,21,18,3,4
,JOAQUÍN PANICHELLI,CD MIRANDÉS,0,0,0,0,0,0,0,0,0,0,0
,JOEL ROCA,CD MIRANDÉS,0,0,0,0,0,0,0,0,0,0,0
,JOFRE CARRERAS,RCD ESPANYOL DE BARCELONA,0,8,53,9,7,0,0,48,64,0,3
,JOHAN MOJICA,RCD MALLORCA,1,12,80,31,12,6,0,48,46,5,5
,JOHN PATRICK,GETAFE CF,1,0,3,1,0,0,0,5,5,2,2
,JOHNNY CARDOSO,REAL BETIS,3,14,39,23,11,7,0,38,36,5,4
,JON ARAMBURU,REAL SOCIEDAD,3,13,50,36,33,10,0,69,56,15,9
,JON GURIDI,DEPORTIVO ALAVÉS,0,7,37,3,6,5,0,28,49,9,14
,JON MAGUNAZELAIA,REAL SOCIEDAD,0,0,5,0,1,0,0,5,1,3,0
,JON MARTÍN,REAL SOCIEDAD,1,1,3,6,0,0,0,7,9,7,3
,JAIME MATA,UD LAS PALMAS,1,1,8,1,0,3,0,16,24,5,13
,JAMES RODRÍGUEZ,RAYO VALLECANO,0,1,8,0,2,1,0,11,9,2,3
,JAN OBLAK,ATLÉTICO DE MADRID,0,0,100,5,0,0,0,2,0,1,0
,JAN SALAS,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0,0
,JASPER CILLESSEN,UD LAS PALMAS,0,0,120,10,0,1,0,5,0,2,0
,ANTONINO JASTIN GARCÍA LÓPEZ,GIRONA FC,0,0,0,0,0,0,0,0,0,0,0
,JAUME DOMÈNECH,VALENCIA CF,0,0,0,0,0,0,0,0,0,0,0
,JAVI GALÁN,ATLÉTICO DE MADRID,1,3,18,2,7,3,0,29,42,7,7
,JAVI GUERRA,VALENCIA CF,0,4,38,14,12,11,0,42,47,4,7
,JAVI HERNÁNDEZ,CD LEGANÉS,1,13,35,39,8,7,0,36,50,8,5
,JAVI LLABRÉS,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0,0
,JAVI LÓPEZ,REAL SOCIEDAD,2,3,42,19,7,7,0,30,34,4,7
,JAVI MARTÍNEZ,CA OSASUNA,0,0,0,0,0,0,0,0,0,0,0
,JAVI MUÑOZ,UD LAS PALMAS,1,12,41,11,16,6,0,44,42,3,11
,JAVI PUADO,RCD ESPANYOL DE BARCELONA,0,3,33,7,9,1,0,28,44,5,10
,JAVI RODRÍGUEZ,RC CELTA,1,10,27,27,10,5,0,40,21,15,4
,JAVI SERRANO,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0,0
,JAVI SÁNCHEZ DE FELIPE,REAL VALLADOLID CF,10,7,14,37,6,2,0,24,27,16,19
,JAVIER MANQUILLO,RC CELTA,3,7,16,12,5,2,0,13,25,5,9
,JAVIER MARTÓN,ATHLETIC CLUB,0,0,2,0,0,0,0,2,2,2,1
,IKER ÁLVAREZ,VILLARREAL B,0,0,0,0,0,0,0,0,0,0,0
,MORIBA KOUROUMA KOUROUMA,RC CELTA,2,5,32,6,17,4,0,50,41,6,8
,ILIAS AKHOMACH,VILLARREAL B,0,3,30,9,7,5,0,58,47,7,6
,ILIAS KOSTIS,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0,0
,IRVIN CARDONA,RCD ESPANYOL DE BARCELONA,1,3,17,6,5,2,0,18,25,7,6
,ISAAC ROMERO,SEVILLA FC,1,1,28,10,2,3,0,54,89,20,27
,ISI PALAZÓN,RAYO VALLECANO,1,5,48,3,8,1,0,42,65,4,14
,ISRAEL DOMÍNGUEZ,SEVILLA FC,0,0,0,0,0,0,0,1,1,0,1
,IVÁN BALLIU,RAYO VALLECANO,1,6,21,15,8,2,0,23,31,7,14
,IVÁN CUÉLLAR,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0,0
,IVÁN GIL,UD LAS PALMAS,0,0,0,0,0,0,0,0,0,0,0
,IVÁN MARTÍN,GIRONA FC,1,5,56,2,8,5,0,33,35,2,2
,IVÁN SÁNCHEZ AGUAYO,REAL VALLADOLID CF,2,6,23,2,8,5,0,49,34,4,7
,IVÁN VILLAR,RC CELTA,0,0,30,5,0,0,0,1,1,1,1
,IGNACIO PEÑA SOTORRES,FC BARCELONA,0,0,104,20,0,0,0,1,2,1,0
,IÑAKI WILLIAMS,ATHLETIC CLUB,1,8,38,12,5,5,0,68,74,17,13
,ÍÑIGO MARTÍNEZ,FC BARCELONA,5,10,57,49,8,7,0,67,27,36,17
,JACKSON POROZO,CD LEGANÉS,0,0,0,0,0,0,0,0,0,0,0
,JACOBO RAMÓN,REAL MADRID,0,0,0,0,0,0,0,0,0,0,0
,JAILSON MARQUES SIQUEIRA,RC CELTA,3,8,23,17,7,0,0,23,17,9,8
,GORKA RIVERA,GETAFE CF,0,0,1,0,0,2,0,3,3,0,1
,GUILLE FERNÁNDEZ,FC BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,GUILLEM TRILLA,GETAFE CF,0,0,0,0,0,0,0,0,0,0,0
,HAMARI TRAORÉ,REAL SOCIEDAD,1,3,15,11,7,4,0,20,15,4,7
,HORATIU MOLDOVAN,,0,0,0,0,0,0,0,0,0,0,0
,HUGO DURO,VALENCIA CF,1,6,27,4,5,2,0,53,71,22,38
,HUGO GUILLAMÓN,VALENCIA CF,1,5,17,7,6,3,0,18,13,5,4
,HUGO NOVOA,DEPORTIVO ALAVÉS,1,0,8,5,5,3,0,13,14,1,7
,HUGO SOTELO,RC CELTA,0,1,41,3,10,4,0,26,30,2,4
,HUGO ÁLVAREZ,RC CELTA,1,7,59,13,8,11,0,54,65,4,3
,HÉCTOR BELLERÍN,REAL BETIS,3,6,11,14,7,5,0,24,23,6,8
,HÉCTOR FORT,FC BARCELONA,0,4,11,8,5,1,0,12,13,3,3
,IAGO ASPAS,RC CELTA,1,4,34,3,7,4,0,52,40,6,4
,IGOR ZUBELDIA,REAL SOCIEDAD,12,12,35,46,11,4,0,53,71,33,47
,IKER ALMENA,,0,0,2,2,0,0,0,3,2,0,0
,IKER BACHILLER,CD LEGANÉS,0,0,0,0,0,0,0,0,0,0,0
,IKER BENITO,CA OSASUNA,0,1,3,2,0,0,0,1,4,0,1
,IKER CÓRDOBA,VALENCIA CF,0,0,0,0,0,0,0,0,0,0,0
,IKER LOSADA,REAL BETIS,0,3,19,2,7,3,0,17,19,3,4
,IKER MUÑOZ,CA OSASUNA,0,1,6,1,0,1,0,7,5,3,2
,FRAN GARCÍA,REAL MADRID,3,6,40,13,6,3,0,25,20,5,4
,FRANCISCO JAVIER GONZÁLEZ PÉREZ,REAL MADRID,0,0,0,0,0,0,0,0,0,0,0
,FRAN PÉREZ,VALENCIA CF,0,0,4,0,1,0,0,3,3,0,2
,FRANCISCO BARBOSA VIEITES,REAL BETIS,0,0,0,0,0,0,0,0,0,0,0
,FRANCO CERVI,RC CELTA,0,1,0,0,0,0,0,0,3,0,1
,FRENKIE DE JONG,FC BARCELONA,0,1,5,0,1,0,0,7,7,1,0
,FÁBIO DANIEL SOARES SILVA,UD LAS PALMAS,0,3,24,14,1,4,0,58,78,24,25
,GABRIEL MISEHOUY,GIRONA FC,0,0,7,0,0,0,0,10,8,0,1
,PABLO PÁEZ GAVIRA,FC BARCELONA,1,4,9,1,4,1,0,14,14,2,4
,GERARD GUMBAU,RAYO VALLECANO,3,3,11,8,10,2,0,27,35,10,14
,GERARD MARTÍN,FC BARCELONA,2,4,10,9,4,6,0,18,14,6,2
,GERARD MORENO,VILLARREAL CF,0,1,4,0,2,0,0,12,7,4,1
,GERMÁN VALERA,VALENCIA CF,0,3,3,1,1,0,0,5,4,1,0
,GERÓNIMO SPINA,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0,0
,GIORGI MAMARDASHVILI,VALENCIA CF,0,0,91,6,0,0,0,3,1,2,1
,GIOVANI LO CELSO,REAL BETIS,0,1,35,1,11,6,0,68,40,4,5
,GIULIANO SIMEONE,ATLÉTICO DE MADRID,1,2,24,3,4,4,0,25,25,1,4
,GONZALO GARCÍA,REAL MADRID,0,0,0,0,0,0,0,0,0,0,0
,GONZALO MONTIEL,SEVILLA FC,0,0,1,0,0,0,0,1,0,0,0
,GORKA GURUZETA,ATHLETIC CLUB,1,5,28,6,3,5,0,40,85,15,38
,ENRIC GARCÍA,GIRONA FC,0,0,0,0,0,0,0,0,0,0,0
,ENZO BARRENECHEA,VALENCIA CF,2,5,24,9,4,7,0,31,22,9,4
,ENZO BOYOMO,CA OSASUNA,15,12,53,56,17,11,0,50,45,13,19
,ENZO LOIODICE,UD LAS PALMAS,0,3,8,2,2,2,0,8,21,2,3
,ERAY CÖMERT,REAL VALLADOLID CF,9,12,21,32,8,5,0,35,29,13,12
,ERIC BAILLY,VILLARREAL CF,6,6,16,23,2,7,0,21,14,8,7
,ERIC GARCÍA,FC BARCELONA,3,4,11,9,4,6,0,25,23,11,11
,ETIENNE ETO'O PINEDA,RAYO VALLECANO,0,0,0,0,0,0,0,0,0,0,0
,KARL EDOUARD BLAISE ETTA EYONG,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0,0
,FABIO GONZÁLEZ,UD LAS PALMAS,0,0,3,0,0,0,0,1,2,1,0
,FEDERICO VALVERDE,REAL MADRID,4,26,82,16,15,8,0,52,23,13,7
,FERLAND MENDY,REAL MADRID,2,8,23,6,12,3,0,23,16,2,2
,FERMÍN LÓPEZ,FC BARCELONA,0,2,17,1,5,1,0,17,23,3,7
,FERNANDO CALERO,RCD ESPANYOL DE BARCELONA,3,5,4,20,2,2,0,10,4,3,2
,FERNANDO LÓPEZ,RC CELTA,0,0,0,0,0,0,0,0,0,0,0
,FERNANDO PACHECO,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,FERRAN TORRES,FC BARCELONA,0,1,11,0,3,2,0,14,12,1,2
,FERRÁN RUIZ MARTÍ,GIRONA FC,1,1,1,0,0,0,0,0,1,0,1
,FLORIAN LEJEUNE,RAYO VALLECANO,11,7,53,60,13,8,0,64,43,34,18
,FRAN BELTRÁN,RC CELTA,4,7,39,10,11,8,0,28,41,5,10
,DIEGO LÓPEZ,VALENCIA CF,0,3,33,1,6,3,0,33,65,7,16
,DIEGO RICO,GETAFE CF,0,13,53,21,20,21,0,83,46,13,9
,DIMITRI FOULQUIER,VALENCIA CF,0,2,32,9,15,6,0,40,35,4,4
,DIMITRIOS STAMATAKIS,CA OSASUNA,0,0,0,0,0,0,0,0,0,0,0
,DINKO HORKAS,UD LAS PALMAS,0,0,19,4,0,0,0,0,1,0,0
,DJENÉ DAKONAM,GETAFE CF,5,11,43,43,1,5,0,39,39,22,12
,DJIBRIL SOW,SEVILLA FC,1,5,32,5,3,2,0,30,31,11,8
,DJORDJIJE MEDENICA,GETAFE CF,0,0,0,0,0,0,0,0,0,0,0
,DODI LUKÉBAKIO,SEVILLA FC,0,1,48,5,6,2,0,68,76,6,6
,DOMINGOS DE SOUSA COUTINHO MENESES DUARTE,GETAFE CF,1,2,8,7,2,0,0,3,8,1,2
,DOMINIK GREIF,RCD MALLORCA,0,0,74,8,0,0,0,3,1,3,1
,DONNY VAN DE BEEK,GIRONA FC,2,3,22,7,7,7,0,24,36,4,4
,DÁRIO CASSIA LUÍS ESSUGO,UD LAS PALMAS,5,19,44,19,14,6,0,49,33,11,6
,EDU EXPÓSITO,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,EDUARDO CAMAVINGA,REAL MADRID,3,5,33,3,7,2,0,29,19,5,2
,EGOITZ ARANA,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0,0,0
,EGOITZ MUÑOZ,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0,0,0
,ENDRICK FELIPE MOREIRA DE SOUSA,REAL MADRID,0,1,3,0,0,0,0,7,10,1,4
,ENEKO ORTIZ,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0,0,0
,ENRIC FRANQUESA,CD LEGANÉS,1,5,29,10,9,8,0,37,26,5,5
,DANI REQUENA,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0,0
,DANI RODRÍGUEZ,RCD MALLORCA,1,4,23,9,15,5,0,53,47,8,14
,DANI VIVIAN,ATHLETIC CLUB,5,13,72,53,13,3,0,50,38,21,17
,DANIEL LUNA,RCD MALLORCA,0,0,2,0,0,0,0,2,1,0,0
,DARKO BRASANAC,CD LEGANÉS,6,6,32,21,5,8,0,31,45,13,19
,DARWIN MACHÍS,REAL VALLADOLID CF,0,1,11,2,0,0,0,5,11,1,0
,DAVID ARGÜELLES,GETAFE CF,0,0,0,0,0,0,0,0,0,0,0
,DAVID JIMÉNEZ,REAL MADRID,0,0,0,0,0,0,0,0,0,0,0
,DAVID LÓPEZ,GIRONA FC,9,9,42,51,7,6,0,43,37,18,17
,DAVID OTORBI,VALENCIA CF,0,0,0,0,0,0,0,0,0,0,0
,DAVID SORIA,GETAFE CF,0,0,97,16,3,0,0,5,1,2,0
,DAVID TORRES,REAL VALLADOLID CF,9,2,9,31,3,1,0,18,28,13,16
,DAWDA CAMARA,GIRONA FC,0,0,0,0,0,0,0,0,0,0,0
,DENIS SUÁREZ,VILLARREAL CF,1,0,5,1,1,0,0,6,5,0,2
,DIEGO AGUADO FACIO,REAL MADRID,0,0,0,0,0,0,0,0,0,0,0
,DIEGO CONDE,VILLARREAL CF,0,1,104,13,2,0,0,2,2,0,0
,DIEGO FERRER,GETAFE CF,0,0,0,0,0,0,0,0,0,0,0
,DIEGO GARCÍA,CD LEGANÉS,0,0,3,4,0,0,0,21,29,13,18
,DIEGO KOCHEN,FC BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,DIEGO LLORENTE,REAL BETIS,11,24,39,64,7,10,0,65,40,33,23
,CONOR GALLAGHER,ATLÉTICO DE MADRID,1,7,33,10,13,7,0,45,48,5,11
,JOSÉ MANUEL ARIAS COPETE,RCD MALLORCA,4,4,8,35,6,2,0,20,16,10,6
,CRISTHIAN MOSQUERA,VALENCIA CF,8,14,68,43,6,5,0,45,34,19,24
,CRISTHIAN STUANI,GIRONA FC,0,2,4,1,2,0,0,9,15,5,4
,CYLE LARIN,RCD MALLORCA,0,1,20,4,2,2,0,35,80,18,38
,CÉDRIC BAKAMBU,REAL BETIS,0,0,6,1,0,1,0,7,28,4,15
,CÉSAR AZPILICUETA,ATLÉTICO DE MADRID,1,2,10,13,5,7,0,26,16,9,8
,CÉSAR FERNÁNDEZ,RC CELTA,0,0,0,0,0,0,0,0,0,0,0
,CÉSAR TÁRREGA,VALENCIA CF,5,6,35,50,11,3,0,44,43,27,20
,CÉSAR DE LA HOZ,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0,0,0
,DALEY BLIND,GIRONA FC,6,13,42,34,8,9,0,38,24,7,7
,DALEY SINKGRAVEN,UD LAS PALMAS,0,1,6,1,1,4,0,9,5,1,0
,DAMIÁN RODRÍGUEZ,RC CELTA,1,5,29,8,5,3,0,15,25,0,3
,DANI CARVAJAL,REAL MADRID,3,10,21,14,8,4,0,27,20,7,5
,DANI CEBALLOS,REAL MADRID,0,4,29,1,6,8,0,28,12,1,1
,DANI CÁRDENAS,RAYO VALLECANO,0,0,25,4,0,0,0,1,0,1,0
,DANI GÓMEZ,VALENCIA CF,0,2,8,3,2,1,0,13,24,4,12
,DANI OLMO,FC BARCELONA,2,1,24,3,3,3,0,29,33,5,2
,DANI PAREJO,VILLARREAL CF,2,7,62,15,15,3,0,52,27,13,3
,DANI RABA,CD LEGANÉS,0,6,26,4,8,6,0,41,31,1,3
,BRYAN ZARAGOZA,CA OSASUNA,0,0,30,8,8,3,0,63,71,0,7
,CARL STARFELT,RC CELTA,13,15,36,60,8,7,0,46,31,27,19
,CARLES ALEÑÁ,GETAFE CF,1,0,9,1,3,3,0,23,22,8,9
,CARLES PÉREZ,GETAFE CF,1,6,36,10,16,6,0,52,90,8,17
,CARLOS BENAVÍDEZ,DEPORTIVO ALAVÉS,1,5,17,2,3,2,0,14,15,5,3
,CARLOS DOMÍNGUEZ,RC CELTA,4,4,7,20,4,3,0,21,7,11,2
,CARLOS GUIRAO,REAL BETIS,1,3,6,2,3,2,0,8,9,2,1
,CARLOS MARTÍN,DEPORTIVO ALAVÉS,1,0,17,5,4,7,0,28,50,4,7
,CARLOS ROMERO,RCD ESPANYOL DE BARCELONA,1,7,43,24,20,9,0,44,55,5,10
,CARLOS VICENTE,DEPORTIVO ALAVÉS,1,4,50,7,10,3,0,60,75,13,18
,JOSÉ LUIS CATALÀ VÁZQUEZ,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,CENK ÖZKACAR,REAL VALLADOLID CF,2,7,15,17,3,0,0,7,10,4,6
,JOSÉ MARÍA ANDRES BAIXAULI,REAL MADRID,0,0,0,0,0,0,0,0,0,0,0
,CHIDERA EJUKE,SEVILLA FC,0,1,33,2,3,2,0,46,43,3,3
,CHIMY ÁVILA,REAL BETIS,0,1,18,3,2,2,0,25,20,4,4
,FRANCISCO JORGE TAVARES OLIVEIRA,RCD MALLORCA,0,2,9,0,0,1,0,13,30,1,4
,CHRISTANTUS UCHE,GETAFE CF,1,2,46,6,6,3,0,98,130,35,51
,IVÁN CANTALEJO,REAL VALLADOLID CF,0,0,2,0,0,1,0,4,4,0,1
,CLÉMENT LENGLET,ATLÉTICO DE MADRID,3,7,19,25,2,0,0,22,31,13,17
,COBA DA COSTA,GETAFE CF,0,1,2,0,2,0,0,3,2,0,0
,ARNAU SOLÀ,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0,0
,ARNAUT DANJUMA,GIRONA FC,1,1,19,0,4,3,0,24,37,2,1
,ARTHUR VERMEEREN,RB LEIPZIG,0,0,0,0,0,0,0,0,0,0,0
,ASIER VILLALIBRE,DEPORTIVO ALAVÉS,0,1,2,4,0,0,0,15,11,9,3
,ASSANE DIAO,REAL BETIS,0,0,7,3,2,2,0,17,21,7,4
,AUGUSTO BATALLA,RAYO VALLECANO,0,0,82,7,0,0,0,7,1,3,0
,AURÉLIEN TCHOUAMÉNI,REAL MADRID,8,23,45,13,11,11,0,53,32,18,8
,AXEL WITSEL,ATLÉTICO DE MADRID,5,6,25,23,9,1,0,33,16,20,11
,AYOZE PÉREZ,VILLARREAL CF,0,2,21,4,4,2,0,35,31,4,5
,BENITO RAMÍREZ,UD LAS PALMAS,3,1,20,10,2,1,0,10,20,2,6
,BERTUG YILDIRIM,GETAFE CF,1,0,14,11,3,3,0,71,77,48,39
,BEÑAT PRADOS,ATHLETIC CLUB,1,16,36,10,11,3,0,36,53,12,7
,BEÑAT TURRIENTES,REAL SOCIEDAD,2,1,20,4,3,8,0,32,33,7,9
,BOJAN MIOVSKI,GIRONA FC,0,1,5,5,4,2,0,22,29,7,13
,BORJA IGLESIAS,RC CELTA,2,3,21,4,4,0,0,25,48,2,14
,BORJA MAYORAL,GETAFE CF,0,0,6,1,1,0,0,11,12,6,7
,BRAHIM DÍAZ,REAL MADRID,0,1,15,0,7,4,0,32,31,1,6
,BRAIS MÉNDEZ,REAL SOCIEDAD,1,3,33,7,6,3,0,40,67,5,10
,BRIAN OLIVÁN,RCD ESPANYOL DE BARCELONA,2,3,10,10,5,1,0,9,17,1,4
,BRYAN GIL,GIRONA FC,0,5,38,5,13,5,0,58,67,1,3
,ANDRÉ FILIPE MAGALHÃES RIBEIRO FERREIRA,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0,0,0
,ANDRÉS CUENCA,FC BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,ANSU FATI,FC BARCELONA,0,0,4,0,1,0,0,6,9,1,4
,ANTE BUDIMIR,CA OSASUNA,2,1,21,9,3,5,0,84,96,61,58
,ANTOINE GRIEZMANN,ATLÉTICO DE MADRID,0,5,34,12,8,4,0,38,44,7,10
,ANTONIO BLANCO,DEPORTIVO ALAVÉS,5,17,48,15,15,10,0,51,61,8,12
,ANTONIO ESPIGARES,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0,0
,ANTONIO GOMIS,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0,0
,ANTONIO RAÍLLO,RCD MALLORCA,16,21,51,71,8,6,0,80,61,59,33
,ANTONIO RÜDIGER,REAL MADRID,10,5,53,53,7,4,0,47,24,23,14
,ANTONIO SIVERA,DEPORTIVO ALAVÉS,0,0,109,13,0,1,0,4,3,1,1
,ANTONIO SÁNCHEZ,RCD MALLORCA,2,9,32,15,8,5,0,25,24,4,4
,ANTONIU ROCA,RCD ESPANYOL DE BARCELONA,0,1,2,2,0,3,0,8,5,0,0
,ANUAR TUHAMI,REAL VALLADOLID CF,2,5,16,3,6,2,0,34,22,15,6
,ARDA GÜLER,REAL MADRID,0,1,18,4,5,6,0,38,27,5,5
,ARIDANE HERNÁNDEZ,RAYO VALLECANO,0,2,6,9,1,1,0,11,0,7,0
,ARITZ ARAMBARRI,SD EIBAR,2,3,4,8,1,0,0,7,8,6,8
,ARITZ ELUSTONDO,REAL SOCIEDAD,5,2,15,13,3,3,0,17,9,6,3
,ARNAU MARTÍNEZ,GIRONA FC,2,4,34,16,11,7,0,45,30,10,10
,ARNAU RAFÚS,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0,0,0
,ANDRÉ FILIPE MAGALHÃES RIBEIRO FERREIRA,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0,0,0
,ANDRÉS CUENCA,FC BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,ANSU FATI,FC BARCELONA,0,0,4,0,1,0,0,6,9,1,4
,ANTE BUDIMIR,CA OSASUNA,2,1,21,9,3,5,0,84,96,61,58
,ANTOINE GRIEZMANN,ATLÉTICO DE MADRID,0,5,34,12,8,4,0,38,44,7,10
,ANTONIO BLANCO,DEPORTIVO ALAVÉS,5,17,48,15,15,10,0,51,61,8,12
,ANTONIO ESPIGARES,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0,0
,ANTONIO GOMIS,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0,0
,ANTONIO RAÍLLO,RCD MALLORCA,16,21,51,71,8,6,0,80,61,59,33
,ANTONIO RÜDIGER,REAL MADRID,10,5,53,53,7,4,0,47,24,23,14
,ANTONIO SIVERA,DEPORTIVO ALAVÉS,0,0,109,13,0,1,0,4,3,1,1
,ANTONIO SÁNCHEZ,RCD MALLORCA,2,9,32,15,8,5,0,25,24,4,4
,ANTONIU ROCA,RCD ESPANYOL DE BARCELONA,0,1,2,2,0,3,0,8,5,0,0
